Timestamp,Members of the Belcher family with whom I identify (select all that apply)
9/9/2019 7:49:15,"Linda, Tina, Louise"
9/9/2019 7:49:25,"Bob, Gene"
9/9/2019 7:49:31,"Bob, Tina, Gene"
9/9/2019 7:49:34,"Bob, Linda, Tina, Gene, Louise"
9/9/2019 7:49:42,Bob
9/9/2019 7:49:43,Louise
9/9/2019 7:50:32,Bob
9/9/2019 7:50:45,Bob
9/9/2019 7:51:01,"Bob, Gene"
9/9/2019 7:51:08,"Bob, Linda, Tina"
9/9/2019 7:51:15,Bob
9/9/2019 7:51:37,"Bob, Tina"
9/9/2019 7:51:57,"Bob, Linda, Tina"
9/9/2019 7:52:11,Bob
9/9/2019 7:52:14,"Bob, Gene, Louise"
9/9/2019 7:53:00,"Bob, Linda, Tina, Gene"
9/9/2019 7:53:09,Louise
9/9/2019 7:53:19,"Bob, Linda, Tina, Gene, Louise"
9/9/2019 7:53:20,"Linda, Tina, Louise"
9/9/2019 7:53:48,"Bob, Louise"
9/9/2019 7:53:50,Tina
9/9/2019 7:53:56,Bob
9/9/2019 7:54:00,Tina
9/9/2019 7:54:01,Tina
9/9/2019 7:54:03,"Tina, Louise"
9/9/2019 7:54:26,Gene
9/9/2019 7:54:29,Louise
9/9/2019 7:55:50,"Bob, Tina, Gene"
9/9/2019 7:55:56,"Bob, Tina, Gene"
9/9/2019 7:56:11,Bob
9/9/2019 7:56:58,"Bob, Tina"
9/9/2019 7:57:16,"Linda, Gene, Louise"
9/9/2019 7:58:56,"Bob, Louise"
9/9/2019 7:58:59,"Bob, Tina, Louise"
9/9/2019 7:59:15,Bob
9/9/2019 7:59:16,Tina
9/9/2019 8:00:29,"Bob, Linda, Tina"
9/9/2019 8:01:39,"Bob, Tina, Gene"
9/9/2019 8:01:42,"Linda, Tina, Louise"
9/9/2019 8:02:03,Tina
9/9/2019 8:02:13,Tina
9/9/2019 8:02:47,"Bob, Tina"
9/9/2019 8:03:19,"Bob, Tina"
9/9/2019 8:03:24,Bob
9/9/2019 8:04:08,Bob
9/9/2019 8:04:10,Bob
9/9/2019 8:04:13,"Bob, Tina, Louise"
9/9/2019 8:04:20,"Linda, Tina"
9/9/2019 8:04:52,Linda
