Weekend,this_weekend,last_weekend,Title,Studio,Weekend Gross,pct_change,Theater Count,Change,Average,Total Gross,budget_mills,week_number
2019-09-13,1,1,It: Chapter Two,WB (NL),40735000,-0.55,"4,570",-,8914,153803524.00,-,2
2019-09-13,2,N,Hustlers,STX,33230000,-,"3,250",-,10225,33230000.00,20,1
2019-09-13,3,2,Angel has Fallen,LGF,4400000,-0.27,"3,076",-153,1430,60380418.00,40,4
2019-09-13,4,3,Good Boys,Uni.,4260000,-0.22,"2,736",-457,1557,73316735.00,20,5
2019-09-13,5,4,The Lion King (2019),BV,3555000,-0.18,"2,365",-245,1503,533992775.00,260,9
2019-09-13,6,5,Fast & Furious Presents: Hobbs & Shaw,Uni.,2770000,-0.27,"2,050",-249,1351,168317320.00,200,7
2019-09-13,7,6,Overcomer,Affirm,2735000,-0.26,"2,293",140,1193,28987768.00,5,4
2019-09-13,8,N,The Goldfinch,WB,2640000,-,"2,542",-,1039,2640000.00,45,1
2019-09-13,9,11,The Peanut Butter Falcon,RAtt.,1921127,-0.1,"1,490",180,1289,15043769.00,-,6
2019-09-13,10,7,Dora and the Lost City of Gold,Par.,1850000,-0.21,"1,348",-440,1372,56743567.00,49,6
2019-09-13,11,9,Scary Stories to Tell in the Dark,LGF,1725000,-0.25,"1,494",-607,1155,64464086.00,25,6
2019-09-13,12,14,Brittany Runs a Marathon,Amazon,1550339,0.5,757,527,2048,3805310.00,-,4
2019-09-13,13,10,Once Upon a Time in Hollywood,Sony,1535000,-0.29,957,-445,1604,136906627.00,90,8
2019-09-13,14,12,The Angry Birds Movie 2,Sony,1200000,-0.3,"1,184",-670,1014,39640502.00,65,5
2019-09-13,15,8,Ready or Not,FoxS,941000,-0.59,"1,095","-1,255",859,27685177.00,6,4
2019-09-13,16,32,Linda Ronstadt: The Sound of My Voice,Greenwich,734636,5.49,220,213,3339,889879.00,-,2
2019-09-13,17,13,Spider-Man: Far from Home,Sony,665000,-0.46,710,-723,937,389199554.00,160,11
2019-09-13,18,26,Official Secrets,IFC,571560,1.59,330,326,1732,957071.00,-,3
2019-09-13,19,18,47 Meters Down: Uncaged,ENTMP,451000,-0.39,537,-438,840,21562972.00,12,5
2019-09-13,20,20,Toy Story 4,BV,439000,-0.2,410,-230,1071,432395259.00,-,13
2019-09-13,21,19,Chhichhore,FIP,419000,-0.32,195,-,2149,1317575.00,-,2
2019-09-13,22,21,The Art of Racing in the Rain,Fox,290000,-0.43,473,-267,613,25791224.00,-,6
2019-09-13,23,24,The Farewell,A24,263975,-0.34,229,-139,1153,17140985.00,-,10
2019-09-13,24,22,Tod@s Caen,PNT,220000,-0.53,211,-160,1043,2458503.00,-,3
2019-09-13,25,25,Aladdin (2019),BV,215000,-0.17,179,-19,1201,355088567.00,183,17
2019-09-13,26,29,Luce,Neon,71000,-0.55,115,-68,617,1853181.00,-,7
2019-09-13,27,28,After the Wedding (2019),SPC,56105,-0.72,96,-187,584,1504748.00,-,6
2019-09-13,28,38,Miles Davis: Birth of Cool,Abr.,55472,-0.05,24,8,2311,242651.00,-,4
2019-09-13,29,33,Mission Mangal,FIP,50000,-0.55,43,-51,1163,3652774.00,-,5
2019-09-13,30,35,Maiden,SPC,44001,-0.48,70,-38,629,3052928.00,-,12
2019-09-13,31,N,Monos,Neon,43285,-,5,-,8657,43285.00,-,1
2019-09-13,32,30,Midsommar,A24,38113,-0.74,50,-184,762,27370090.00,-,11
2019-09-13,33,42,Honeyland,Neon,32088,-0.36,46,-10,698,532181.00,-,8
2019-09-13,34,43,David Crosby: Remember My Name,SPC,26522,-0.47,67,1,396,646254.00,-,9
2019-09-13,35,49,Give Me Liberty,MBox,20251,-0.18,17,4,1191,159546.00,-,4
2019-09-13,36,44,Before You Know It (2019),1091,15892,-0.62,28,-3,568,108177.00,-,3
2019-09-13,37,53,Aquarela,SPC,14034,-0.39,20,-3,702,207004.00,-,5
2019-09-13,38,58,Ms. Purple,Osci.,13650,-0.13,4,3,3413,31878.00,-,2
2019-09-13,39,65,Edie,MBox,10797,0.23,9,2,1200,26446.00,-,2
2019-09-13,40,45,Bennett's War,FF,8892,-0.77,55,-235,162,758921.00,-,3
2019-09-13,41,N,Moonlight Sonata: Deafness in Three Movements,Abr.,7120,-,1,-,7120,7120.00,-,1
2019-09-13,42,N,One Cut of the Dead,Vari.,6200,-,2,-,3100,6200.00,-,1
2019-09-13,43,N,The Sound of Silence,IFC,6148,-,2,-,3074,6148.00,-,1
2019-09-13,44,N,Cracked Up,Abr.,5580,-,1,-,5580,5580.00,-,1
2019-09-13,45,N,Desolation Center,Mats.,5356,-,3,-,1785,5356.00,-,1
2019-09-13,46,76,Free Trip to Egypt,INDEP,1975,-0.17,5,-,395,45340.00,-,16
2019-09-06,26,43,Official Secrets,IFC,221076,2.4,4,-,55269,318859.00,-,2
2019-09-06,1,N,It: Chapter Two,WB (NL),91062152,-,"4,570",-,19926,91062152.00,-,1
2019-09-06,32,N,Linda Ronstadt: The Sound of My Voice,Greenwich,113235,-,7,-,16176,113235.00,-,1
2019-09-06,57,N,Mr. Klein (2019 re-release),Rialto,15915,-,1,-,15915,15915.00,-,1
2019-09-06,58,N,Ms. Purple,Osci.,15734,-,1,-,15734,15734.00,-,1
2019-09-06,52,81,End of the Century (2019),CGld,23503,13.45,3,2,7834,23503.00,-,4
