resp_id,age,airplane,anchorman,bridesmaids
1,48,TRUE,TRUE,TRUE
2,31,FALSE,TRUE,TRUE
3,30,FALSE,FALSE,FALSE
4,20,FALSE,FALSE,FALSE
5,29,FALSE,TRUE,TRUE
6,28,FALSE,TRUE,FALSE
7,24,TRUE,TRUE,FALSE
8,42,TRUE,FALSE,FALSE
9,33,TRUE,TRUE,TRUE
10,34,TRUE,TRUE,TRUE
11,33,FALSE,FALSE,FALSE
12,32,TRUE,TRUE,TRUE
13,33,TRUE,TRUE,TRUE
14,44,TRUE,TRUE,TRUE
15,NA,FALSE,TRUE,TRUE
16,27,TRUE,TRUE,TRUE
17,27,FALSE,FALSE,TRUE
18,33,TRUE,TRUE,TRUE
19,28,FALSE,TRUE,TRUE
20,38,TRUE,TRUE,TRUE
21,25,FALSE,TRUE,TRUE
22,NA,TRUE,TRUE,FALSE
23,35,TRUE,TRUE,TRUE
24,27,FALSE,FALSE,TRUE
25,32,TRUE,FALSE,FALSE
26,42,TRUE,TRUE,TRUE
27,42,TRUE,FALSE,TRUE
28,29,FALSE,TRUE,TRUE
29,NA,FALSE,FALSE,FALSE
30,37,TRUE,TRUE,TRUE
31,30,FALSE,TRUE,TRUE
32,32,FALSE,TRUE,TRUE
33,49,FALSE,FALSE,FALSE
34,22,FALSE,FALSE,TRUE
35,29,FALSE,TRUE,TRUE
36,56,TRUE,FALSE,TRUE
37,28,TRUE,TRUE,TRUE
38,30,TRUE,TRUE,FALSE
39,28,TRUE,TRUE,FALSE
40,36,TRUE,TRUE,FALSE
41,46,TRUE,TRUE,FALSE
42,29,TRUE,TRUE,FALSE
43,28,FALSE,FALSE,FALSE
44,31,TRUE,TRUE,TRUE
45,35,FALSE,FALSE,FALSE
46,21,TRUE,TRUE,FALSE
47,33,TRUE,FALSE,FALSE
48,26,FALSE,FALSE,FALSE
49,43,TRUE,FALSE,FALSE
50,28,FALSE,TRUE,TRUE
51,32,FALSE,TRUE,FALSE
52,30,TRUE,FALSE,TRUE
53,39,TRUE,TRUE,TRUE
54,27,TRUE,TRUE,TRUE
55,42,FALSE,FALSE,FALSE
56,33,TRUE,FALSE,TRUE
57,26,FALSE,TRUE,TRUE
58,NA,TRUE,FALSE,TRUE
59,24,TRUE,TRUE,TRUE
60,32,FALSE,FALSE,TRUE
61,23,FALSE,TRUE,FALSE
62,37,TRUE,FALSE,FALSE
63,29,TRUE,TRUE,TRUE
64,33,TRUE,TRUE,FALSE
65,48,TRUE,FALSE,TRUE
66,27,TRUE,TRUE,TRUE
67,41,TRUE,TRUE,TRUE
68,26,FALSE,TRUE,TRUE
69,42,TRUE,FALSE,FALSE
70,30,TRUE,TRUE,TRUE
71,44,TRUE,FALSE,TRUE
72,30,TRUE,TRUE,FALSE
73,38,TRUE,FALSE,FALSE
74,36,TRUE,FALSE,TRUE
75,43,TRUE,TRUE,TRUE
76,NA,TRUE,TRUE,FALSE
77,31,FALSE,TRUE,TRUE
78,31,FALSE,TRUE,TRUE
79,30,FALSE,TRUE,TRUE
80,26,TRUE,TRUE,FALSE
81,33,FALSE,FALSE,FALSE
82,34,TRUE,TRUE,TRUE
83,41,TRUE,FALSE,FALSE
84,29,TRUE,TRUE,TRUE
85,28,TRUE,FALSE,TRUE
86,32,FALSE,TRUE,TRUE
87,21,FALSE,FALSE,FALSE
88,33,TRUE,TRUE,TRUE
89,46,TRUE,TRUE,FALSE
90,46,TRUE,TRUE,TRUE
91,27,TRUE,TRUE,TRUE
92,24,FALSE,TRUE,FALSE
93,53,TRUE,TRUE,FALSE
94,44,TRUE,TRUE,TRUE
95,33,FALSE,TRUE,FALSE
96,40,TRUE,TRUE,TRUE
97,35,TRUE,TRUE,TRUE
98,53,TRUE,FALSE,FALSE
99,31,FALSE,FALSE,FALSE
100,24,FALSE,FALSE,FALSE
101,52,TRUE,FALSE,FALSE
102,45,TRUE,TRUE,TRUE
103,34,TRUE,TRUE,FALSE
104,42,TRUE,TRUE,FALSE
105,29,TRUE,TRUE,TRUE
106,51,TRUE,FALSE,TRUE
107,33,TRUE,TRUE,TRUE
108,45,FALSE,FALSE,FALSE
109,59,TRUE,FALSE,FALSE
110,37,TRUE,FALSE,FALSE
111,NA,TRUE,TRUE,TRUE
112,40,FALSE,TRUE,TRUE
113,45,TRUE,TRUE,TRUE
114,46,TRUE,TRUE,TRUE
115,21,TRUE,TRUE,TRUE
116,26,TRUE,FALSE,TRUE
117,28,TRUE,TRUE,TRUE
118,34,FALSE,TRUE,TRUE
119,26,FALSE,TRUE,FALSE
120,38,FALSE,TRUE,FALSE
121,28,TRUE,TRUE,TRUE
122,27,FALSE,FALSE,FALSE
123,31,TRUE,TRUE,TRUE
124,35,FALSE,TRUE,TRUE
125,30,TRUE,TRUE,TRUE
126,32,TRUE,FALSE,FALSE
127,23,TRUE,FALSE,TRUE
128,NA,FALSE,FALSE,FALSE
129,39,TRUE,TRUE,TRUE
130,25,FALSE,FALSE,TRUE
131,34,FALSE,FALSE,FALSE
132,27,TRUE,TRUE,TRUE
133,30,TRUE,TRUE,TRUE
134,35,TRUE,TRUE,TRUE
135,38,TRUE,TRUE,FALSE
136,NA,TRUE,FALSE,TRUE
137,35,TRUE,TRUE,TRUE
138,25,FALSE,FALSE,TRUE
139,39,FALSE,FALSE,FALSE
140,34,TRUE,FALSE,FALSE
141,32,TRUE,TRUE,TRUE
142,34,FALSE,FALSE,FALSE
